relative_path,sha256,condition_id,true_label,degradation,level,enhancement_method,error_group,clean_pred,clean_confidence,degraded_pred,degraded_confidence,enhanced_pred,enhanced_confidence,confidence_delta
data/flower_photos/daisy/11870378973_2ec1919f12.jpg,67e3b06f044df4170c2f30eeab4bc4a1f37dbcd211dac189b08514bb4f3bb765,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,harmed_by_enhancement,daisy,0.5276076793670654,daisy,0.5121479034423828,dandelion,0.5729017853736877,0.06075388193130493
data/flower_photos/daisy/18203367608_07a04e98a4_n.jpg,2f58163fd4cebbe376be26987ba71904561283d284aedc8c5721e4859b7fe0cd,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,dandelion,0.5490456819534302,dandelion,0.513740599155426,dandelion,0.5231452584266663,0.009404659271240234
data/flower_photos/daisy/21805938544_bf6bb0e4bc.jpg,32bb47c1163092baed940a7174ed928d2a33a1ea8618fd8048641be190dbfbcd,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,tulips,0.6331233382225037,tulips,0.6166595220565796,tulips,0.6435256004333496,0.02686607837677002
data/flower_photos/daisy/2481823240_eab0d86921.jpg,1e696b808057f15341f06c5afbb025457c5648dc4a005975dede9c31d267b6d3,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,dandelion,0.48271116614341736,dandelion,0.5621722936630249,dandelion,0.6415586471557617,0.07938635349273682
data/flower_photos/daisy/2619413565_61a6cd3ac9_m.jpg,c2f591f3ebb914ef43ace18fe4ad99977c2fe1e21d50ad3ec314fe9d05922c1d,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,sunflowers,0.9568443894386292,sunflowers,0.9119792580604553,sunflowers,0.9823029637336731,0.07032370567321777
data/flower_photos/daisy/2641151167_3bf1349606_m.jpg,e5e54c14b423fca51510165aa74523defc10ae7f594757e43cb27db5127086f7,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,harmed_by_enhancement,daisy,0.8845871686935425,daisy,0.9047131538391113,dandelion,0.6382248401641846,-0.26648831367492676
data/flower_photos/daisy/391364010_4b0942d400_m.jpg,80a3e64d2929079501aa2946e884269f0a064e6146ed2f07cef7483b0a4c1073,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,roses,0.5383773446083069,roses,0.5089594721794128,roses,0.5107946395874023,0.001835167407989502
data/flower_photos/daisy/3999978867_c67c79597f_m.jpg,81de32431452cba99c678ae1038bbb6ddec50476a09f92c947933e34e0d11eee,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,harmed_by_enhancement,daisy,0.9181315302848816,daisy,0.9085516929626465,dandelion,0.4281225800514221,-0.48042911291122437
data/flower_photos/daisy/4610018126_21f438d2dc_m.jpg,7855d8dcf4c57da3a0b03b600a5d13a5283da0870af3c6ab7e174934515ab0f8,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,sunflowers,0.7186127305030823,sunflowers,0.7277874946594238,sunflowers,0.7939408421516418,0.06615334749221802
data/flower_photos/daisy/530738000_4df7e4786b.jpg,89f08b37b15b1c8df4551dd6ada8780531630ba478fcc35bde11a3e0bfa63377,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,always_wrong,sunflowers,0.9835110902786255,sunflowers,0.9871091842651367,sunflowers,0.9678961634635925,-0.01921302080154419
data/flower_photos/daisy/5693459303_e61d9a9533.jpg,eb9c9753a77fb49e548a14c2ceb5b07c319c8d5e83145299e084daf87a30c499,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,always_wrong,dandelion,0.7774583697319031,dandelion,0.8727245926856995,dandelion,0.6808342337608337,-0.19189035892486572
data/flower_photos/daisy/5944315415_2be8abeb2f_m.jpg,08c0c85124ea182f675de0b3e512b502f1476b543ce7ab06ef57b9c9e1224a2c,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,dandelion,0.5041486620903015,dandelion,0.6304880380630493,dandelion,0.7571022510528564,0.12661421298980713
data/flower_photos/daisy/6910811638_aa6f17df23.jpg,7d28502e9ed3ab8098cffc9cfc8e445b8ab6218590f615e2caf37646d4b201db,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,confidence_increased_still_wrong,tulips,0.4081968665122986,tulips,0.4572930335998535,tulips,0.5871359705924988,0.12984293699264526
data/flower_photos/daisy/8008258043_5457dd254b_n.jpg,eabfc783db63443ea8a5b0a19d1cd6e10ae451fbd64493631fe24cd9d82acd9d,color_cast__light__hsv_correction,daisy,color_cast,light,hsv_correction,always_wrong,sunflowers,0.8243951201438904,sunflowers,0.8266405463218689,sunflowers,0.7467913627624512,-0.07984918355941772
data/flower_photos/dandelion/129019877_8eea2978ca_m.jpg,2c584befb73bccff260eb62c6f1a7ea3d72a7bdb442fd82ec22ae9f4efda54c9,color_cast__light__hsv_correction,dandelion,color_cast,light,hsv_correction,confidence_increased_still_wrong,sunflowers,0.9898107051849365,sunflowers,0.9873179793357849,sunflowers,0.9874458312988281,0.0001278519630432129
