label,brightness,contrast,edge_density,width,height,aspect_ratio
daisy,130.75685416666667,43.18324277341792,0.22547743055555555,180,240,0.75
daisy,150.43496006944443,60.205135258152175,0.8167317708333334,228,240,0.95
daisy,153.1835954861111,46.59933619578503,0.2306857638888889,320,213,1.5023474178403755
daisy,148.57056043836803,44.85604857971312,0.5105251736111112,500,333,1.5015015015015014
daisy,114.71275217013888,54.39957896354946,0.5528428819444444,500,333,1.5015015015015014
daisy,86.97939659288194,56.04090965995212,0.5176866319444444,500,333,1.5015015015015014
daisy,129.98110329861112,77.8698462144256,0.4809027777777778,500,229,2.183406113537118
daisy,43.37639312065972,17.461516161063756,0.023763020833333332,500,281,1.7793594306049825
daisy,114.0408327907986,74.23225491248736,0.6351996527777778,500,375,1.3333333333333333
daisy,78.9833142361111,54.81445730821115,0.6222873263888888,192,240,0.8
daisy,106.14911859809028,60.85383111429242,0.2511935763888889,500,375,1.3333333333333333
daisy,73.32232638888888,79.27616938654647,0.4881727430555556,320,240,1.3333333333333333
daisy,82.01672395833333,43.40737211299288,0.3806423611111111,185,240,0.7708333333333334
daisy,83.35979535590279,46.34324364615072,0.1999782986111111,320,213,1.5023474178403755
daisy,120.83069487847222,65.9603524718667,0.5638020833333334,320,240,1.3333333333333333
daisy,14.885915581597223,41.223576928931976,0.193359375,500,333,1.5015015015015014
daisy,95.2470708550347,63.66673258413323,0.5601128472222222,320,215,1.4883720930232558
daisy,140.9573347439236,70.00497317809989,0.4050564236111111,320,254,1.2598425196850394
daisy,131.04899826388888,99.8065550101241,0.2730034722222222,180,240,0.75
daisy,87.60826660156249,61.34206810198561,0.4375,320,213,1.5023474178403755
daisy,67.45161794704862,80.70048617477487,0.3342013888888889,221,240,0.9208333333333332
daisy,129.33351725260414,30.538296129143706,0.1947699652777778,159,240,0.6625
daisy,115.46045160590276,50.11257198183283,0.8178168402777778,320,240,1.3333333333333333
daisy,92.51403873697916,84.39829741900805,0.25,320,213,1.5023474178403755
daisy,63.88325379774306,50.069759792522675,0.6144748263888888,500,319,1.567398119122257
daisy,130.5321742621528,68.835067548583,0.3731553819444444,180,240,0.75
daisy,101.35612033420138,80.8208318071654,0.6321614583333334,500,333,1.5015015015015014
daisy,56.30133311631945,77.70012509621306,0.3040364583333333,320,218,1.4678899082568808
daisy,68.08032302517361,59.772421776524546,0.2802734375,320,213,1.5023474178403755
daisy,180.21845464409722,42.93087728378198,0.2612847222222222,320,240,1.3333333333333333
daisy,44.72250846354167,77.78044692007444,0.2601996527777778,180,240,0.75
daisy,121.77804286024305,70.46839858919375,0.2808159722222222,500,375,1.3333333333333333
daisy,125.4814458550347,72.24463892277201,0.3996310763888889,500,385,1.2987012987012987
daisy,166.0949370659722,70.4873133081293,0.3023003472222222,320,213,1.5023474178403755
daisy,189.51294292534718,45.71541135521971,0.3046875,320,213,1.5023474178403755
daisy,85.5526003689236,81.5820093366649,0.3272569444444444,500,333,1.5015015015015014
daisy,127.05471788194447,74.59510208082445,0.6430121527777778,205,240,0.8541666666666666
daisy,34.110134548611114,51.851868183282264,0.3754340277777778,500,333,1.5015015015015014
daisy,123.71629134114583,67.34333601724292,0.7447916666666666,500,333,1.5015015015015014
daisy,173.65116200086808,73.25881817383569,0.2737630208333333,320,240,1.3333333333333333
daisy,52.703053710937496,45.87398103526569,0.1545138888888889,240,240,1.0
daisy,21.608117621527775,21.468898171933528,0.1371527777777778,240,240,1.0
daisy,126.07134385850694,64.99500455449457,0.3936631944444444,500,281,1.7793594306049825
daisy,136.00204437934028,56.885197549819516,0.3722873263888889,175,240,0.7291666666666666
daisy,150.4165610894097,59.25286053088595,0.8840060763888888,640,255,2.5098039215686274
daisy,74.46576378038195,70.07341348111467,0.6124131944444444,320,240,1.3333333333333333
daisy,156.93850922309028,42.10890364611891,0.3802083333333333,500,375,1.3333333333333333
daisy,147.0999130859375,62.16720452540394,0.3988715277777778,320,212,1.509433962264151
daisy,116.98541406249998,66.23926842003786,0.5033637152777778,500,335,1.492537313432836
daisy,84.79213986545139,54.63474215820403,0.4460720486111111,500,375,1.3333333333333333
daisy,77.86758517795138,99.66360921034176,0.3509114583333333,320,244,1.3114754098360657
daisy,149.87179600694446,67.23291879594314,0.3210720486111111,500,333,1.5015015015015014
daisy,79.17995279947917,74.19990385699727,0.3413628472222222,500,320,1.5625
daisy,117.07638151041667,72.03268889965315,0.3490668402777778,320,240,1.3333333333333333
daisy,80.76265907118055,72.46035391778685,0.4791666666666667,320,248,1.2903225806451613
daisy,66.29976529947918,90.30924156580129,0.3549262152777778,240,180,1.3333333333333333
daisy,100.70569086371526,73.40926845422453,0.8325737847222222,240,240,1.0
daisy,142.66851063368054,81.57279050450816,0.4930555555555556,320,222,1.4414414414414414
daisy,145.2760613064236,89.75951498364874,0.4595269097222222,500,282,1.7730496453900708
daisy,112.39753266059027,75.81443582105754,0.6495225694444444,500,335,1.492537313432836
daisy,109.76604730902778,47.04606898253403,0.7488064236111112,234,240,0.975
daisy,99.1329363064236,54.519805691469514,0.7490234375,500,325,1.5384615384615383
daisy,99.65664876302084,67.67901624321144,0.548828125,320,240,1.3333333333333333
daisy,120.9690224609375,68.85469355919207,0.7521701388888888,320,240,1.3333333333333333
daisy,76.94389246961805,57.14341696627569,0.2736545138888889,320,240,1.3333333333333333
daisy,103.26819498697915,57.87124708056487,0.6027560763888888,500,333,1.5015015015015014
daisy,109.7248984375,68.42620096048796,0.4891493055555556,500,375,1.3333333333333333
daisy,59.18444064670138,60.729662583825586,0.2710503472222222,320,213,1.5023474178403755
daisy,78.61314420572916,56.45381476504463,0.4212239583333333,500,332,1.5060240963855422
daisy,134.92648350694446,53.77067578756492,0.3023003472222222,500,312,1.6025641025641026
daisy,99.42030598958333,66.97251914967505,0.22233072916666666,500,324,1.5432098765432098
daisy,111.46054242621527,49.32202805479824,0.6689453125,500,333,1.5015015015015014
daisy,89.41337630208334,68.24640873184741,0.5824652777777778,187,240,0.7791666666666667
daisy,91.51476030815972,89.75447644503693,0.4574652777777778,230,240,0.9583333333333334
daisy,102.77299045138888,36.319104642876844,0.1810980902777778,320,240,1.3333333333333333
daisy,126.26512630208332,63.66867029702074,0.5270182291666666,320,256,1.25
daisy,89.93566362847223,70.81090145138052,0.4562717013888889,320,213,1.5023474178403755
daisy,104.24065961371528,70.88160366905785,0.4827473958333333,159,240,0.6625
daisy,127.95318153211805,45.401588313768286,0.3053385416666667,240,240,1.0
daisy,60.678862738715274,81.82275795187063,0.2828776041666667,500,363,1.3774104683195592
daisy,166.10650238715277,47.30798643049219,0.22819010416666666,240,240,1.0
daisy,121.20745811631943,59.10883024969982,0.5617404513888888,500,375,1.3333333333333333
daisy,119.57264713541667,69.85971002826241,0.4510633680555556,320,241,1.3278008298755186
daisy,125.10707931857638,34.79229182776815,0.1703559027777778,500,375,1.3333333333333333
daisy,99.66833170572916,73.22851415393481,0.4982638888888889,320,240,1.3333333333333333
daisy,105.9960283203125,63.05398101534963,0.5875651041666666,500,333,1.5015015015015014
daisy,122.97852745225694,60.66216456596158,0.5764973958333334,500,326,1.5337423312883436
daisy,120.6727587890625,81.4486830306852,0.4929470486111111,320,238,1.3445378151260503
daisy,130.4920915798611,65.58058308504417,0.5172526041666666,176,240,0.7333333333333333
daisy,234.9124964192708,35.987700831126524,0.2601996527777778,240,230,1.0434782608695652
dandelion,162.86483897569443,42.097346208131185,0.4465060763888889,320,256,1.25
dandelion,103.20861284722223,41.60080592072677,0.2985026041666667,320,240,1.3333333333333333
dandelion,88.38803634982638,61.12421108660933,0.5670572916666666,320,240,1.3333333333333333
dandelion,101.74196864149305,59.326279751973416,0.2578125,240,240,1.0
dandelion,65.90136751302083,41.61298610008448,0.4594184027777778,500,335,1.492537313432836
dandelion,150.27816764322915,46.56495338692195,0.5635850694444444,500,333,1.5015015015015014
dandelion,54.264322265625,55.49945435686372,0.3003472222222222,500,333,1.5015015015015014
dandelion,67.96243467881943,65.4904179170473,0.4525824652777778,320,240,1.3333333333333333
dandelion,120.34171126302083,42.63654571116165,0.6860894097222222,320,273,1.1721611721611722
dandelion,118.08930121527777,63.5651677041619,0.5068359375,500,282,1.7730496453900708
dandelion,132.92874359809028,38.28625922369371,0.5830078125,500,400,1.25
dandelion,62.42886957465277,63.23486677342478,0.1976996527777778,500,333,1.5015015015015014
dandelion,151.64976616753472,62.256336465388785,0.4233940972222222,240,240,1.0
dandelion,98.72193500434028,41.38628854770781,0.3493923611111111,500,333,1.5015015015015014
dandelion,136.67588498263888,19.981443424361824,0.04904513888888889,500,334,1.497005988023952
dandelion,161.98951291232638,45.25970012042651,0.3324652777777778,217,240,0.9041666666666668
dandelion,73.31854644097221,60.76876287897199,0.3765190972222222,320,240,1.3333333333333333
dandelion,90.16249717881945,60.33849418599945,0.3700086805555556,320,240,1.3333333333333333
dandelion,116.49513509114584,43.7800613758999,0.6397569444444444,500,412,1.2135922330097086
dandelion,81.71220865885417,44.06789199060505,0.5703125,320,212,1.509433962264151
dandelion,144.66306987847221,45.16692893003957,0.5724826388888888,320,240,1.3333333333333333
dandelion,83.81046896701388,28.090455788462222,0.13096788194444445,320,213,1.5023474178403755
dandelion,128.35124544270832,55.882985890488584,0.3842230902777778,500,375,1.3333333333333333
dandelion,47.90981217447917,56.97890272936649,0.23990885416666666,500,333,1.5015015015015014
dandelion,75.63997276475693,56.5280881153195,0.2687717013888889,320,213,1.5023474178403755
dandelion,114.48067209201388,63.558822546032495,0.4782986111111111,500,333,1.5015015015015014
dandelion,84.41492979600694,51.09027503472524,0.248046875,500,375,1.3333333333333333
dandelion,24.342664930555557,50.6471015114316,0.1421440972222222,240,240,1.0
dandelion,151.18840223524305,40.41078285797267,0.1162109375,500,331,1.5105740181268883
dandelion,81.99563411458332,60.478289706512825,0.4299045138888889,320,240,1.3333333333333333
dandelion,175.162458984375,54.429587263944605,0.3205295138888889,500,333,1.5015015015015014
dandelion,44.96678927951389,48.74581676841175,0.4781901041666667,320,221,1.4479638009049771
dandelion,137.6020597873264,83.46780260206079,0.1361762152777778,240,240,1.0
dandelion,116.70571365017359,43.540880807221576,0.3575303819444444,172,240,0.7166666666666667
dandelion,51.872829861111114,41.73225951234578,0.1560329861111111,240,240,1.0
dandelion,87.91539854600694,33.93807937644443,0.1693793402777778,500,332,1.5060240963855422
dandelion,188.1639751519097,67.69112717297796,0.3436414930555556,180,240,0.75
dandelion,101.12709375,49.30109893176045,0.2717013888888889,320,240,1.3333333333333333
dandelion,98.64430685763888,66.83448211912744,0.5853949652777778,320,213,1.5023474178403755
dandelion,106.44596354166667,66.03588063659073,0.8400607638888888,320,213,1.5023474178403755
dandelion,117.63422612847222,58.35662550148386,0.5843098958333334,320,240,1.3333333333333333
dandelion,115.73337912326389,67.16377159560136,0.6731770833333334,320,240,1.3333333333333333
dandelion,88.1782966579861,90.7582957967994,0.435546875,320,282,1.1347517730496457
dandelion,205.31148155381945,34.66482004732615,0.3754340277777778,320,213,1.5023474178403755
dandelion,119.23054405381943,46.58464883959137,0.3120659722222222,240,240,1.0
dandelion,94.31638747829861,76.0235077959612,0.1525607638888889,500,295,1.694915254237288
dandelion,144.15225564236113,59.1394041117832,0.2840711805555556,500,333,1.5015015015015014
dandelion,78.93318001302083,50.68978395441325,0.21419270833333334,180,240,0.75
dandelion,62.161162977430564,43.893772400595196,0.3295355902777778,320,234,1.3675213675213675
dandelion,113.6114326171875,20.885550143225174,0.0847439236111111,320,240,1.3333333333333333
dandelion,99.76261219618056,49.1345836749647,0.5999348958333334,320,213,1.5023474178403755
dandelion,133.94825477430555,56.65147992870433,0.3296440972222222,320,240,1.3333333333333333
dandelion,121.37282986111111,92.5190148885634,0.6295572916666666,500,333,1.5015015015015014
dandelion,99.37433550347221,41.99125705175971,0.5311414930555556,320,240,1.3333333333333333
dandelion,108.63036827256944,45.493617512364715,0.5762803819444444,320,213,1.5023474178403755
dandelion,123.37997591145833,49.13449882039554,0.7811414930555556,500,267,1.8726591760299625
dandelion,81.43265690104165,41.666210632235014,0.2757161458333333,320,213,1.5023474178403755
dandelion,111.46211870659721,69.94501070805624,0.2860243055555556,320,240,1.3333333333333333
dandelion,107.09502897135417,49.80366793089873,0.4041883680555556,320,213,1.5023474178403755
dandelion,127.11930381944444,62.89406478259371,0.4388020833333333,180,240,0.75
dandelion,83.2557068142361,84.2783215352734,0.2156032986111111,500,334,1.497005988023952
dandelion,93.07890104166667,75.11899680637774,0.4026692708333333,500,286,1.7482517482517483
dandelion,141.43771701388889,37.30964453986063,0.5903862847222222,500,332,1.5060240963855422
dandelion,97.23952582465277,62.037139292130476,0.5494791666666666,320,240,1.3333333333333333
dandelion,119.68165755208332,60.6549733100955,0.4612630208333333,320,240,1.3333333333333333
dandelion,183.40180110677085,41.09370728217365,0.2725694444444444,159,240,0.6625
dandelion,122.41371082899306,55.967213188818434,0.5577256944444444,240,217,1.1059907834101383
dandelion,159.2435871310764,68.15495487813604,0.6216362847222222,159,240,0.6625
dandelion,98.98179264322918,46.3745820263677,0.5681423611111112,500,375,1.3333333333333333
dandelion,90.25796755642361,33.71443602542553,0.3663194444444444,500,332,1.5060240963855422
dandelion,61.88800651041666,49.28024938203495,0.4136284722222222,207,240,0.8625
dandelion,70.67620355902778,53.28985565320376,0.6906467013888888,500,375,1.3333333333333333
dandelion,87.43978190104166,44.74879084862056,0.4213324652777778,320,213,1.5023474178403755
dandelion,103.40435687934026,66.05729653574257,0.4825303819444444,320,240,1.3333333333333333
dandelion,141.5886452907986,46.72582681169701,0.3634982638888889,500,332,1.5060240963855422
dandelion,90.2199970703125,35.11616681906097,0.22547743055555555,240,240,1.0
dandelion,106.6911824001736,48.442122592824305,0.3363715277777778,240,240,1.0
dandelion,94.74094618055555,45.36380723645267,0.5797526041666666,500,333,1.5015015015015014
dandelion,155.68976150173611,43.727986253834224,0.17078993055555555,320,239,1.338912133891213
dandelion,155.38373394097223,49.28383759121872,0.13997395833333334,240,240,1.0
dandelion,112.78169932725694,48.756884516049155,0.2646484375,500,333,1.5015015015015014
dandelion,166.7937849392361,43.34508632421363,0.4724392361111111,500,332,1.5060240963855422
dandelion,118.64146733940973,70.0070969864536,0.4491102430555556,500,333,1.5015015015015014
dandelion,116.74075553385416,52.40075469640118,0.2541232638888889,500,333,1.5015015015015014
dandelion,89.57552734375,60.27543274926913,0.09364149305555555,320,213,1.5023474178403755
dandelion,105.57999696180553,71.9747014358257,0.4244791666666667,240,240,1.0
dandelion,107.58064876302085,60.475156243351485,0.5759548611111112,320,225,1.4222222222222225
dandelion,109.26914854600695,31.944226486593536,0.2607421875,240,240,1.0
dandelion,59.5318601345486,58.34492252578632,0.3537326388888889,159,240,0.6625
dandelion,64.58277072482639,54.82036116901089,0.2124565972222222,500,333,1.5015015015015014
roses,82.33485774739583,71.57264084441809,0.4141710069444444,320,251,1.2749003984063745
roses,149.91304991319444,49.235422023145134,0.5081380208333334,240,219,1.095890410958904
roses,78.33001942274306,59.18240681896223,0.4850260416666667,500,333,1.5015015015015014
roses,82.5741611328125,41.23424200311921,0.7960069444444444,500,333,1.5015015015015014
roses,65.26318804253472,84.45288380984492,0.3480902777777778,240,215,1.1162790697674418
roses,123.26043446180554,42.78380273935323,0.7491319444444444,240,240,1.0
roses,101.13162348090276,56.55109897464765,0.8204210069444444,320,240,1.3333333333333333
roses,39.13922178819444,27.569783354165146,0.3333333333333333,500,375,1.3333333333333333
roses,110.41015907118054,46.66654486782468,0.6273871527777778,500,328,1.524390243902439
roses,111.94512185329862,61.913556100791105,0.7472873263888888,240,239,1.00418410041841
roses,26.35832052951389,55.922092851432524,0.19010416666666666,320,240,1.3333333333333333
roses,78.94420909288195,53.710964778346685,0.2581380208333333,500,333,1.5015015015015014
roses,121.61474490017362,71.72137818834187,0.6628689236111112,320,228,1.4035087719298245
roses,174.0622570529514,76.1076346323293,0.2893880208333333,500,334,1.497005988023952
roses,125.55514583333333,48.965525149126854,0.5075954861111112,500,333,1.5015015015015014
roses,81.04092719184027,42.433920119530974,0.7342664930555556,320,213,1.5023474178403755
roses,119.25131087239583,51.04809620725999,0.4153645833333333,240,240,1.0
roses,120.84978461371526,61.2149160648954,0.7446831597222222,180,240,0.75
roses,122.36867871093747,56.659208423586925,0.5094401041666666,500,375,1.3333333333333333
roses,180.4590027126736,30.260019326728194,0.17513020833333334,500,331,1.5105740181268883
