path,relative_path,label,width,height,aspect_ratio,mode,original_format,original_mode,exif_orientation,sha256,bytes,decode_status,duplicate_group
data/flower_photos/daisy/100080576_f52e8ee070_n.jpg,data/flower_photos/daisy/100080576_f52e8ee070_n.jpg,daisy,320,263,1.2167300380228137,RGB,JPEG,RGB,,7f9de25827f56d28a5240aa0f5901799c259b41db36b3fa69d7cb1240e2ac67a,26797,ok,
data/flower_photos/daisy/10140303196_b88d3d6cec.jpg,data/flower_photos/daisy/10140303196_b88d3d6cec.jpg,daisy,500,313,1.597444089456869,RGB,JPEG,RGB,,42241bfdb0ffeb1012d1899d4c44bcfd823d98302edd99cccfcc1c9b699d080f,117247,ok,
data/flower_photos/daisy/10172379554_b296050f82_n.jpg,data/flower_photos/daisy/10172379554_b296050f82_n.jpg,daisy,320,215,1.4883720930232558,RGB,JPEG,RGB,,9d28fe37d384974429e51febd82380e2ae17aed72dd59fb3ff938fa519bc4cc6,36410,ok,
data/flower_photos/daisy/10172567486_2748826a8b.jpg,data/flower_photos/daisy/10172567486_2748826a8b.jpg,daisy,500,333,1.5015015015015014,RGB,JPEG,RGB,,4876ee5dac4f015dfe8eacc7d01271a67331ab1b48a4aabbd57228df9225ad2d,102862,ok,
data/flower_photos/daisy/10172636503_21bededa75_n.jpg,data/flower_photos/daisy/10172636503_21bededa75_n.jpg,daisy,320,250,1.28,RGB,JPEG,RGB,,a27cde28ec220e2d6ee1c94f4ddfeddc0c618049223b13b007197aec46d0d078,27419,ok,
data/flower_photos/daisy/102841525_bd6628ae3c.jpg,data/flower_photos/daisy/102841525_bd6628ae3c.jpg,daisy,500,400,1.25,RGB,JPEG,RGB,,1adc5dbb8ba26a8d3d915ef8dc285241eb4d6e3e31cb2bbdcd04fc655f879c59,132803,ok,
data/flower_photos/daisy/1031799732_e7f4008c03.jpg,data/flower_photos/daisy/1031799732_e7f4008c03.jpg,daisy,500,375,1.3333333333333333,RGB,JPEG,RGB,,ba718b80bf7616a152ba2bb43afceb8cb99edfab0706e07c777cd0c04a1c9827,102618,ok,
data/flower_photos/daisy/10391248763_1d16681106_n.jpg,data/flower_photos/daisy/10391248763_1d16681106_n.jpg,daisy,320,224,1.4285714285714286,RGB,JPEG,RGB,,68922bcdf1a0ff3dbdb21f63ef2a2c92159cd3d98d5dc5126e806d797d135f9c,51688,ok,
data/flower_photos/daisy/10437754174_22ec990b77_m.jpg,data/flower_photos/daisy/10437754174_22ec990b77_m.jpg,daisy,171,240,0.7125,RGB,JPEG,RGB,,34a53427637c8ee788d9909a5f842cfc09091754a6a664bd1514cc930fdf12e3,13946,ok,
data/flower_photos/daisy/10437770546_8bb6f7bdd3_m.jpg,data/flower_photos/daisy/10437770546_8bb6f7bdd3_m.jpg,daisy,240,240,1.0,RGB,JPEG,RGB,,032dafa74410af26bba4c25fad16d69b49cf6e2666ec17fbe70410d57f72544d,13518,ok,
data/flower_photos/daisy/10437929963_bc13eebe0c.jpg,data/flower_photos/daisy/10437929963_bc13eebe0c.jpg,daisy,500,320,1.5625,RGB,JPEG,RGB,,fc93c5da3aac42323db54d1e0403b96b4503bb1fff73fe48cf035b8d94a1cf83,84219,ok,
data/flower_photos/daisy/10466290366_cc72e33532.jpg,data/flower_photos/daisy/10466290366_cc72e33532.jpg,daisy,500,333,1.5015015015015014,RGB,JPEG,RGB,,4134e654ebbd57a724529d53df593f54e0f9352e94d6660a785645aa47631a77,172328,ok,
data/flower_photos/daisy/10466558316_a7198b87e2.jpg,data/flower_photos/daisy/10466558316_a7198b87e2.jpg,daisy,500,333,1.5015015015015014,RGB,JPEG,RGB,,87d67ca9a1e6f0c723f3d80c8444de10f48cca34485c143ed841ddbe60f4ec8a,129584,ok,
data/flower_photos/daisy/10555749515_13a12a026e.jpg,data/flower_photos/daisy/10555749515_13a12a026e.jpg,daisy,500,331,1.5105740181268883,RGB,JPEG,RGB,,660c383561d2f802cadb57a52537d59e556e522729253370bbf8565668ed0d91,86878,ok,
data/flower_photos/daisy/10555815624_dc211569b0.jpg,data/flower_photos/daisy/10555815624_dc211569b0.jpg,daisy,500,320,1.5625,RGB,JPEG,RGB,,bb25058e94bd3e6bc5317ed8b477831738ec59ecf9d2cc085779ea9e131b6f45,93133,ok,
data/flower_photos/daisy/10555826524_423eb8bf71_n.jpg,data/flower_photos/daisy/10555826524_423eb8bf71_n.jpg,daisy,320,219,1.461187214611872,RGB,JPEG,RGB,,827aeaad06b287c4c8eddcd41e060eccc24247e6c08353d1eb2826d3be42581d,59028,ok,
data/flower_photos/daisy/10559679065_50d2b16f6d.jpg,data/flower_photos/daisy/10559679065_50d2b16f6d.jpg,daisy,500,281,1.7793594306049823,RGB,JPEG,RGB,,5a887a0dc941ab03c67c62ae63d8a1d5ef35ba386db5c3d9e4662385a220e20f,100584,ok,
data/flower_photos/daisy/105806915_a9c13e2106_n.jpg,data/flower_photos/daisy/105806915_a9c13e2106_n.jpg,daisy,320,213,1.5023474178403755,RGB,JPEG,RGB,,7e332643ba7b28be64c19ce9614be7050aba660608bef890cd7cf6c9fe14978e,25620,ok,
data/flower_photos/daisy/10712722853_5632165b04.jpg,data/flower_photos/daisy/10712722853_5632165b04.jpg,daisy,500,333,1.5015015015015014,RGB,JPEG,RGB,,9897f99e7657651da53e91c11b0c115204772017082c0c314d604196592e9cbd,63389,ok,
data/flower_photos/daisy/107592979_aaa9cdfe78_m.jpg,data/flower_photos/daisy/107592979_aaa9cdfe78_m.jpg,daisy,240,240,1.0,RGB,JPEG,RGB,,c7ab4c17028b15d9b3348aa46f752d80f72cafaea06491aa7a425956c6d17286,31691,ok,
data/flower_photos/daisy/10770585085_4742b9dac3_n.jpg,data/flower_photos/daisy/10770585085_4742b9dac3_n.jpg,daisy,320,213,1.5023474178403755,RGB,JPEG,RGB,,d67f32d1d532400b6fae8f41969c40ca2a98c9f03a6a03bdb2298b2875af8d79,33679,ok,
