epoch,stage,accuracy,loss,val_accuracy,val_loss,learning_rate,duration_seconds
1,head,0.5783741474151611,1.0886749029159546,0.806921660900116,0.5632379055023193,0.0010000000474974513,71.23212649999186
2,head,0.7806301116943359,0.6046835780143738,0.8378870487213135,0.4493272602558136,0.0010000000474974513,61.34328139992431
3,head,0.8094126582145691,0.5178050398826599,0.8633880019187927,0.4175935387611389,0.0010000000474974513,56.3633742001839
4,head,0.8378062844276428,0.4478260278701782,0.8724954724311829,0.3726922571659088,0.0010000000474974513,54.321436299942434
5,head,0.852586567401886,0.41271844506263733,0.8870673775672913,0.34207382798194885,0.0010000000474974513,60.79232529993169
6,head,0.8564760684967041,0.39551305770874023,0.8870673775672913,0.3410933315753937,0.0010000000474974513,71.0118696000427
7,head,0.8650330901145935,0.36665213108062744,0.8852459192276001,0.3376666009426117,0.0010000000474974513,66.98502539983019
8,head,0.8665888905525208,0.3643943965435028,0.8943533897399902,0.31655675172805786,0.0010000000474974513,66.82116510020569
9,head,0.8755348324775696,0.3425382375717163,0.8852459192276001,0.34816697239875793,0.0010000000474974513,68.56774100009352
10,head,0.8770906329154968,0.33259615302085876,0.8925318717956543,0.32629621028900146,0.0003000000142492354,68.35376670002006
11,head,0.8872033953666687,0.3040797710418701,0.8961748480796814,0.316618949174881,0.0003000000142492354,70.77477340004407
12,head,0.8860365748405457,0.30442875623703003,0.8925318717956543,0.31550726294517517,0.0003000000142492354,74.75618859985843
13,head,0.8910929560661316,0.29811251163482666,0.8943533897399902,0.32207924127578735,0.0003000000142492354,70.19842020003125
14,head,0.8883702754974365,0.31384655833244324,0.9034608602523804,0.30921876430511475,0.0003000000142492354,70.59084869991057
15,head,0.8942046165466309,0.3017335832118988,0.8888888955116272,0.3191951513290405,0.0003000000142492354,69.09776129992679
16,fine_tune,0.8910929560661316,0.29475656151771545,0.8961748480796814,0.28551608324050903,9.999999747378752e-06,87.27251109993085
17,fine_tune,0.9136523008346558,0.24608735740184784,0.8998178243637085,0.2907479703426361,9.999999747378752e-06,75.21489459997974
18,fine_tune,0.9136523008346558,0.24259278178215027,0.9034608602523804,0.27226006984710693,9.999999747378752e-06,75.41417830018327
19,fine_tune,0.9225981831550598,0.21862353384494781,0.9107468128204346,0.2742634415626526,9.999999747378752e-06,75.33167179999873
20,fine_tune,0.9237650632858276,0.20392030477523804,0.9052823185920715,0.26732906699180603,9.999999747378752e-06,79.26099710003473
21,fine_tune,0.9338778853416443,0.17820599675178528,0.9089252948760986,0.2648935616016388,9.999999747378752e-06,76.20875250012614
22,fine_tune,0.9389342665672302,0.16770967841148376,0.9162113070487976,0.2608928084373474,9.999999747378752e-06,76.4877166999504
23,fine_tune,0.9412679672241211,0.16459481418132782,0.9143897891044617,0.26348328590393066,9.999999747378752e-06,79.83193390001543
24,fine_tune,0.9397121667861938,0.15775330364704132,0.9162113070487976,0.2631799280643463,2.9999998787388904e-06,67.62992469989695
25,fine_tune,0.9560482501983643,0.133592426776886,0.9125683307647705,0.25450682640075684,2.9999998787388904e-06,78.16166410013102
